bill_id,bill_type,subjects_top_term,cosponsors,num_cosponsors,num_support,enacted_as
s538-115,s,Public lands and natural resources,"['B001230', 'C000127', 'C000567', 'C001035', 'C000880', 'D000618', 'G000359', 'I000055', 'K000383', 'K000367', 'M001176', 'M001111', 'P000595', 'R000584', 'S000320', 'S001203', 'T000464', 'W000437', 'W000779']",19,20,0
s1905-115,s,Health,"['B000575', 'E000295', 'W000802']",3,4,0
s1139-115,s,Finance and financial sector,"['H001069', 'M001170', 'M000934']",3,4,0
s994-115,s,Crime and law enforcement,"['F000062', 'G000359', 'K000367']",3,4,1
s3038-115,s,Animals,"['B001277', 'C000174', 'G000555', 'M000133', 'M000639', 'N000032', 'W000817', 'W000802']",8,9,0
s3804-115,s,,[],0,1,0
s2777-115,s,Economics and public finance,['K000393'],1,2,0
s507-115,s,Public lands and natural resources,[],0,1,0
s77-115,s,Agriculture and food,[],0,1,0
s3497-115,s,Health,['K000383'],1,2,0
s2545-115,s,Native Americans,"['C001113', 'H001069', 'T000464', 'U000039', 'W000817']",5,6,0
s735-115,s,Environmental protection,"['B001261', 'H001041', 'R000307']",3,4,0
s2121-115,s,Health,"['B001267', 'C001047', 'C001113', 'G000562', 'J000300', 'S001184', 'Y000064']",7,8,0
s351-115,s,Education,"['B001261', 'E000285']",2,3,0
s2313-115,s,International affairs,"['B001230', 'B001277', 'C000127', 'C001035', 'C001088', 'D000607', 'G000562', 'G000359', 'G000386', 'H001061', 'I000055', 'K000367', 'M001176', 'R000595', 'S001197', 'T000464', 'W000805']",17,18,0
s163-115,s,Government operations and politics,"['B001288', 'L000575']",2,3,0
s1596-115,s,Armed forces and national security,"['B001230', 'C001035', 'C000880', 'K000383', 'R000595', 'S001181', 'T000464', 'W000817']",8,9,0
s1750-115,s,Taxation,[],0,1,0
s3007-115,s,International affairs,['H000338'],1,2,0
s3235-115,s,Armed forces and national security,[],0,1,0
s197-115,s,Labor and employment,"['B001267', 'B001288', 'H001046', 'R000584', 'U000039']",5,6,0
s1562-115,s,International affairs,"['B001236', 'C001095', 'C001098', 'M000133', 'M000639', 'P000449', 'R000595']",7,8,0
s3651-115,s,Crime and law enforcement,[],0,1,0
s2783-115,s,Environmental protection,[],0,1,0
s1106-115,s,Health,"['B001267', 'C001047', 'C001035', 'H001076', 'S000033', 'S001181', 'W000779']",7,8,0
s1334-115,s,Health,"['B001230', 'C001047', 'C000174', 'C001035', 'I000055', 'K000367', 'R000605']",7,8,0
s83-115,s,"Science, technology, communications",['H001041'],1,2,0
s3463-115,s,International affairs,['J000300'],1,2,0
s3803-115,s,,[],0,1,0
s1768-115,s,Emergency management,"['C000127', 'G000562', 'H001075', 'H001046', 'M001176', 'M001153', 'M001111', 'S001198', 'W000779']",9,10,1
s993-115,s,"Science, technology, communications","['C001056', 'C001095', 'C001098', 'I000024', 'J000293', 'P000603', 'R000584', 'R000307', 'S001197', 'T000476', 'T000461']",11,12,0
s1902-115,s,Crime and law enforcement,"['C001098', 'L000577', 'P000603', 'P000612']",4,5,0
s3669-115,s,Families,['C001070'],1,2,0
s2589-115,s,Health,['C001047'],1,2,0
s2119-115,s,Armed forces and national security,"['B001277', 'B000944', 'M000133', 'M001111', 'R000122', 'W000779']",6,7,0
s369-115,s,Armed forces and national security,"['C001070', 'T000476']",2,3,0
s2925-115,s,International affairs,['S001181'],1,2,0
s967-115,s,Health,"['B001236', 'C001075', 'C000567', 'C001035', 'C001095', 'G000555', 'L000174', 'M000133', 'R000307', 'S000033', 'S000148', 'T000464']",12,13,0
s1333-115,s,Native Americans,"['C000127', 'D000618', 'F000457', 'H001069', 'H001061', 'I000055', 'M001153', 'S001203', 'U000039']",9,10,0
s84-115,s,Armed forces and national security,[],0,1,1
s3464-115,s,Government operations and politics,['H001076'],1,2,0
s3656-115,s,,"['G000562', 'H001076', 'H001046', 'K000383', 'P000449']",5,6,0
s2784-115,s,Families,"['A000360', 'C001047', 'C001070', 'C001088', 'C001056', 'C001113', 'F000062', 'G000562', 'G000555', 'G000386', 'H000338', 'H001042', 'K000384', 'K000367', 'M000639', 'R000307', 'R000595', 'S001184', 'T000476', 'V000128', 'W000817']",21,22,0
s1101-115,s,Labor and employment,"['B001230', 'B001277', 'B000944', 'C000141', 'C001088', 'C001113', 'D000622', 'D000563', 'G000555', 'H001075', 'H001076', 'H001041', 'K000384', 'K000383', 'L000174', 'M000133', 'M000639', 'M001176', 'P000595', 'R000122', 'S000033', 'S001181', 'S001203', 'S000770', 'V000128', 'W000817', 'W000802']",27,28,0
s3232-115,s,"Science, technology, communications",[],0,1,0
s190-115,s,Energy,['C000127'],1,2,1
s1565-115,s,Education,[],0,1,0
s1757-115,s,Immigration,"['B001261', 'H001041', 'I000024', 'J000293', 'L000575', 'S001184', 'T000476', 'W000437']",8,9,0
s3000-115,s,Health,[],0,1,0
s2314-115,s,Foreign trade and international finance,"['C001070', 'H001075', 'H001076', 'H001069', 'M000133', 'T000464']",6,7,0
s958-115,s,Public lands and natural resources,"['C000174', 'M000133', 'M001176', 'W000779']",4,5,0
s164-115,s,Animals,"['B001230', 'B001261', 'E000285', 'K000367']",4,5,0
s1591-115,s,International affairs,"['B001277', 'B000944', 'C001070', 'C001113', 'C001095', 'C000880', 'C001098', 'D000563', 'H001042', 'K000393', 'S001194', 'S001184', 'T000464', 'T000461', 'W000817']",15,16,0
s2126-115,s,Finance and financial sector,['P000595'],1,2,0
s356-115,s,Health,"['B000944', 'F000457', 'G000555', 'P000595', 'S001203']",5,6,0
s70-115,s,Public lands and natural resources,['B001261'],1,2,0
s3490-115,s,Crime and law enforcement,[],0,1,0
s2542-115,s,Education,"['C001070', 'H001075', 'H001076', 'H001042', 'M001111', 'S001181', 'T000464', 'W000779']",8,9,0
s732-115,s,Taxation,"['B000575', 'C000141', 'C001070', 'C001088', 'D000622', 'F000463', 'H001042', 'I000024', 'P000595', 'S001181', 'S001198', 'T000464', 'V000128']",13,14,0
s2770-115,s,Crime and law enforcement,"['B001277', 'C001070', 'V000128']",3,4,0
s500-115,s,Emergency management,"['E000295', 'M001170']",2,3,0
s1934-115,s,Environmental protection,['M001153'],1,2,0
s1108-115,s,Government operations and politics,"['B001277', 'B001236', 'C000174', 'C001070', 'G000562', 'M000934', 'M001169', 'U000039']",8,9,0
s3009-115,s,Environmental protection,"['B001261', 'B001236', 'I000024']",3,4,0
s199-115,s,Water resources development,['E000285'],1,2,0
s2913-115,s,Armed forces and national security,['C001056'],1,2,0
s951-115,s,Government operations and politics,"['F000463', 'H000338', 'H001069', 'J000293', 'L000575', 'M001183', 'P000603', 'S001184', 'S001202']",9,10,0
s1598-115,s,Armed forces and national security,"['B001230', 'B001277', 'B000575', 'B001236', 'B000944', 'C000127', 'C001047', 'C000141', 'C001070', 'C001075', 'C000567', 'C001035', 'C001088', 'C001056', 'C001113', 'C000880', 'D000618', 'D000607', 'D000622', 'F000062', 'F000463', 'F000457', 'G000555', 'G000359', 'G000386', 'H001076', 'H001046', 'H001069', 'H001041', 'H001042', 'I000024', 'K000384', 'K000393', 'K000367', 'M001183', 'M000133', 'M000303', 'M001170', 'M000639', 'M001176', 'M000934', 'M001153', 'M001111', 'N000032', 'P000595', 'R000122', 'R000307', 'R000605', 'R000595', 'S000148', 'S001181', 'S000770', 'S001202', 'S001198', 'T000464', 'T000250', 'T000476', 'U000039', 'V000128', 'W000805', 'W000817', 'W000802', 'W000437']",63,64,0
s2779-115,s,International affairs,['C001088'],1,2,1
s509-115,s,Public lands and natural resources,"['E000285', 'L000577', 'M001153', 'R000584']",4,5,0
s79-115,s,Energy,"['C001035', 'C000880', 'H001046', 'R000584']",4,5,0
s3499-115,s,Public lands and natural resources,[],0,1,0
s1553-115,s,Crime and law enforcement,['C001095'],1,2,0
s3204-115,s,Immigration,['R000595'],1,2,0
s3036-115,s,Immigration,"['B001230', 'B001267', 'B001277', 'B001288', 'B000944', 'C000127', 'C000141', 'C000174', 'C001070', 'C001088', 'C001113', 'D000607', 'D000622', 'D000563', 'G000555', 'H001075', 'H001076', 'H001046', 'H001069', 'H001042', 'J000300', 'K000384', 'K000383', 'K000367', 'L000174', 'M001183', 'M000133', 'M001170', 'M000639', 'M001176', 'M001169', 'M001111', 'N000032', 'P000595', 'R000122', 'S000033', 'S001194', 'S000148', 'S001181', 'S001203', 'S000770', 'T000464', 'U000039', 'V000128', 'W000805', 'W000817', 'W000802', 'W000779']",48,49,0
