bill_id,bill_type,subjects_top_term,cosponsors,num_cosponsors,num_support,enacted_as
hr2705-115,hr,Environmental protection,"['C001103', 'C001096', 'G000568', 'N000190', 'R000592', 'R000604', 'S001187']",7,8,0
hr7277-115,hr,International affairs,"['J000255', 'S001175']",2,3,0
hr5520-115,hr,Armed forces and national security,"['B000574', 'B001296', 'B001285', 'C001112', 'C001049', 'C001077', 'C001068', 'C001110', 'C001106', 'C001111', 'C001107', 'D000191', 'D000197', 'E000293', 'G000578', 'G000551', 'H001064', 'J000126', 'J000255', 'J000295', 'K000389', 'K000390', 'K000382', 'L000588', 'L000551', 'L000580', 'M001143', 'M001196', 'N000147', 'O000170', 'P000613', 'P000593', 'P000608', 'P000597', 'P000607', 'P000598', 'Q000023', 'R000606', 'R000602', 'R000582', 'R000409', 'R000583', 'R000608', 'R000515', 'R000609', 'S001145', 'S001170', 'S000510', 'S001200', 'S001193', 'T000472', 'T000468', 'V000130', 'Y000062', 'Y000033']",55,56,0
hr1180-115,hr,Labor and employment,"['B001274', 'B001289', 'C001105', 'F000465', 'F000450', 'G000289', 'G000576', 'G000558', 'M001197', 'R000582', 'R000592', 'S000250', 'S001172', 'S001199', 'S001196', 'W000814', 'W000795']",17,18,0
hr5712-115,hr,Health,['W000800'],1,2,0
hr293-115,hr,Armed forces and national security,[],0,1,0
hr2537-115,hr,Government operations and politics,"['G000580', 'S000522']",2,3,0
hr7045-115,hr,Transportation and public works,[],0,1,0
hr6197-115,hr,International affairs,"['C001091', 'C001084', 'C001068', 'S000344', 'T000468', 'W000795']",6,7,0
hr3623-115,hr,Government operations and politics,"['B001292', 'B000490', 'C001067', 'C001049', 'D000624', 'E000296', 'H001050', 'J000298', 'K000391', 'R000606', 'R000576', 'R000515', 'S000480', 'S001200', 'W000822']",15,16,0
hr7283-115,hr,,['L000582'],1,2,0
hr6351-115,hr,Energy,['D000482'],1,2,0
hr1948-115,hr,Finance and financial sector,['L000569'],1,2,0
hr4406-115,hr,Government operations and politics,"['C001067', 'C001092', 'C001038', 'D000625', 'E000179', 'F000464', 'H001038', 'J000294', 'K000386', 'K000210', 'L000480', 'M000087', 'M001185', 'M001137', 'M001188', 'N000002', 'R000585', 'R000602', 'S000248', 'S000480', 'S001196', 'S001201', 'T000478', 'T000469', 'V000081', 'Z000017']",26,27,1
hr1174-115,hr,Government operations and politics,"['C001105', 'D000191', 'J000288']",3,4,0
hr869-115,hr,"Arts, culture, religion","['C001080', 'G000553', 'L000582', 'M001137', 'S001177', 'S001200', 'S001193', 'T000472', 'V000081']",9,10,0
hr4634-115,hr,,[],0,1,0
hr267-115,hr,Public lands and natural resources,"['A000370', 'B000490', 'B001227', 'B001251', 'C001072', 'C001103', 'C001068', 'C001078', 'C000984', 'G000574', 'H000324', 'H001071', 'H001068', 'J000032', 'L000551', 'L000263', 'M000312', 'N000147', 'P000604', 'P000610', 'P000598', 'R000588', 'S001150', 'S000185', 'S000248', 'S001193', 'T000193', 'T000468', 'V000131', 'Y000062']",30,31,1
hr1346-115,hr,Transportation and public works,"['B001269', 'B001286', 'C001037', 'C001090', 'C001076', 'C001059', 'D000619', 'D000612', 'D000604', 'E000294', 'E000293', 'F000462', 'H001059', 'L000587', 'M001199', 'N000127', 'N000147', 'P000594', 'Q000023', 'R000601', 'R000577', 'S001145', 'S001190', 'S001165', 'T000475', 'V000108', 'W000813', 'W000806', 'Y000033']",29,30,0
hr3411-115,hr,Transportation and public works,['D000624'],1,2,0
hr6163-115,hr,Finance and financial sector,[],0,1,0
hr4250-115,hr,Government operations and politics,"['A000371', 'C001112', 'C001090', 'G000583', 'K000381', 'P000608', 'S001190', 'W000800']",8,9,0
hr603-115,hr,Crime and law enforcement,"['E000294', 'R000487']",2,3,0
hr5382-115,hr,Taxation,"['B001260', 'D000610']",2,3,0
hr1722-115,hr,Labor and employment,"['A000372', 'A000369', 'B001291', 'B001243', 'B001248', 'C000059', 'C001103', 'C001105', 'D000621', 'D000615', 'F000460', 'F000465', 'F000459', 'F000461', 'F000448', 'G000563', 'G000552', 'G000565', 'G000560', 'H001045', 'H001036', 'H001071', 'H001067', 'H001058', 'K000376', 'K000362', 'L000578', 'L000576', 'L000583', 'O000168', 'P000592', 'R000592', 'R000607', 'S001183', 'S001192', 'W000809', 'Y000065']",37,38,0
hr3075-115,hr,Armed forces and national security,"['N000147', 'O000171', 'R000608']",3,4,0
hr6507-115,hr,Public lands and natural resources,"['B001269', 'C001090', 'D000482', 'K000376', 'R000598', 'S001154']",6,7,0
hr3849-115,hr,Foreign trade and international finance,"['B001270', 'C001110', 'C001107', 'H000324', 'L000287', 'L000584', 'S001183', 'W000815']",8,9,0
hr2395-115,hr,Commerce,"['G000574', 'G000535', 'J000298', 'M000312', 'N000179', 'N000147', 'S001145', 'T000472']",8,9,0
hr3247-115,hr,Public lands and natural resources,[],0,1,0
hr6735-115,hr,Emergency management,"['H001073', 'K000389', 'L000559', 'R000601']",4,5,0
hr431-115,hr,Energy,"['B001283', 'C001037', 'C001105', 'C001048', 'G000559', 'H001059', 'J000126', 'K000387', 'L000563', 'L000491', 'N000188', 'N000190', 'P000593', 'P000608', 'R000409', 'S001183', 'S000583', 'T000469']",18,19,0
hr4062-115,hr,Public lands and natural resources,"['B001245', 'C001112', 'C001101', 'C001111', 'C001107', 'E000293', 'G000582', 'J000294', 'J000255', 'L000579', 'M001199', 'M000312', 'M001160', 'N000002', 'N000179', 'R000515', 'W000797', 'Y000033']",18,19,0
hr1510-115,hr,Education,"['C001076', 'G000578', 'G000576']",3,4,0
hr6994-115,hr,Armed forces and national security,['B001296'],1,2,0
hr2508-115,hr,Immigration,"['C001080', 'C001067', 'E000296', 'G000535', 'J000032', 'K000381', 'L000287', 'M001143', 'M000312', 'N000002', 'N000147', 'P000598', 'R000606', 'S000510', 'S001200', 'V000130', 'V000131', 'V000081']",18,19,0
hr1983-115,hr,Crime and law enforcement,['H000324'],1,2,0
hr7248-115,hr,Health,['S001185'],1,2,0
hr4895-115,hr,Public lands and natural resources,['B001250'],1,2,0
hr5947-115,hr,International affairs,[],0,1,0
hr2950-115,hr,Public lands and natural resources,[],0,1,0
hr3882-115,hr,Transportation and public works,"['N000147', 'P000034', 'S001165']",3,4,0
hr5349-115,hr,Government operations and politics,"['B001273', 'B001243', 'C000754', 'D000616', 'D000533', 'F000459', 'K000392', 'R000582']",8,9,1
hr4861-115,hr,Finance and financial sector,['B001282'],1,2,0
hr3278-115,hr,Health,[],0,1,0
hr2198-115,hr,Armed forces and national security,"['B000490', 'B001245', 'C001072', 'C001068', 'C001107', 'D000191', 'D000624', 'F000466', 'G000576', 'G000535', 'H001048', 'J000255', 'K000389', 'K000378', 'K000382', 'L000565', 'N000147', 'P000604', 'S001170', 'S001187', 'T000472', 'T000470', 'T000474', 'W000814']",24,25,0
hr6538-115,hr,Energy,['N000190'],1,2,0
hr3876-115,hr,Government operations and politics,"['B001300', 'G000574', 'G000585', 'H001050', 'J000298', 'L000581', 'M001188', 'N000147', 'R000606', 'R000608', 'R000577', 'V000081']",12,13,0
hr6960-115,hr,Education,"['C001067', 'G000551', 'H001050', 'J000032', 'J000288', 'L000397', 'N000179', 'P000604', 'T000474', 'V000132']",10,11,0
hr258-115,hr,International affairs,"['G000580', 'J000255', 'L000551', 'M001184', 'W000800', 'Y000065']",6,7,0
hr1379-115,hr,Armed forces and national security,"['B001298', 'B001281', 'B001301', 'B001293', 'B001278', 'B001245', 'C001069', 'G000574', 'L000397', 'M001199', 'M001196', 'P000597', 'R000586', 'S001170', 'S001191', 'S001175', 'T000460', 'W000799', 'Y000033']",19,20,0
hr1977-115,hr,Armed forces and national security,"['C001066', 'R000609']",2,3,0
hr4439-115,hr,Finance and financial sector,"['C001063', 'H000324', 'L000569', 'M001156', 'P000258', 'P000606', 'S000250', 'S001165']",8,9,0
hr856-115,hr,Armed forces and national security,"['B001245', 'C001090', 'D000617', 'E000179', 'K000385', 'L000560', 'M000312', 'N000188', 'N000147', 'P000604', 'P000607', 'S000480', 'W000800']",13,14,0
hr2392-115,hr,Health,"['B001270', 'B001281', 'B000574', 'B001278', 'B001245', 'B001285', 'C001037', 'C001072', 'C001090', 'C001080', 'C001101', 'C001067', 'C001068', 'C000714', 'C000984', 'D000096', 'D000191', 'D000623', 'D000624', 'E000288', 'E000297', 'G000571', 'G000559', 'G000551', 'G000535', 'H001038', 'J000298', 'K000385', 'K000389', 'L000551', 'L000397', 'L000579', 'M001143', 'M000312', 'M001188', 'M001160', 'N000002', 'N000179', 'N000147', 'O000170', 'P000604', 'P000597', 'P000607', 'R000606', 'R000486', 'R000515', 'R000577', 'S001170', 'S000344', 'S001165', 'S001200', 'T000472', 'T000468', 'T000474', 'V000130', 'V000081', 'W000808']",57,58,0
hr3240-115,hr,Energy,"['D000482', 'R000585']",2,3,0
hr6732-115,hr,Government operations and politics,[],0,1,0
hr4065-115,hr,Crime and law enforcement,"['C001067', 'D000623', 'N000147', 'S001145', 'S000248', 'T000472']",6,7,0
hr436-115,hr,International affairs,"['M001188', 'S001191']",2,3,0
hr4859-115,hr,Education,"['C001080', 'J000298', 'L000551', 'L000397', 'M001185', 'M001137', 'M001160', 'N000127', 'N000147', 'R000576', 'R000515', 'S001145', 'S001180', 'S001170', 'S001193', 'T000469', 'W000800']",17,18,0
hr1517-115,hr,Crime and law enforcement,"['C001068', 'C000714']",2,3,0
hr604-115,hr,Immigration,"['A000372', 'B001291', 'B000213', 'B001273', 'B001274', 'B001289', 'F000460', 'H001071', 'J000174', 'K000362', 'O000168', 'P000605', 'R000575', 'S000583']",14,15,0
hr4257-115,hr,Public lands and natural resources,"['C001114', 'G000559', 'P000598']",3,4,0
hr5385-115,hr,Health,"['B000213', 'B001293', 'B001250', 'B001243', 'B001303', 'B001296', 'B001227', 'B001248', 'B001289', 'C001103', 'C000266', 'C001080', 'C001067', 'C001049', 'C001061', 'C001068', 'C001059', 'C001106', 'C001114', 'D000096', 'D000619', 'D000197', 'D000624', 'D000482', 'E000179', 'E000215', 'E000293', 'E000296', 'F000466', 'F000454', 'G000579', 'G000563', 'G000581', 'G000576', 'H001073', 'J000292', 'J000295', 'K000376', 'K000385', 'K000379', 'K000389', 'K000391', 'L000557', 'L000566', 'L000287', 'L000563', 'L000397', 'L000576', 'L000583', 'L000584', 'L000569', 'M001179', 'M001157', 'M001201', 'M001160', 'M001202', 'P000608', 'P000607', 'Q000023', 'R000435', 'R000486', 'R000515', 'S001145', 'S001157', 'S000250', 'S001148', 'S001195', 'S001200', 'S001192', 'S001187', 'T000463', 'U000031', 'V000129', 'W000791', 'Y000066']",75,76,1
hr1725-115,hr,Armed forces and national security,"['C001106', 'D000612', 'H001038', 'J000292', 'K000382', 'L000559', 'M001197', 'S001170']",8,9,1
hr3072-115,hr,Finance and financial sector,['S001187'],1,2,0
hr6500-115,hr,Agriculture and food,"['B001295', 'C001112', 'D000612', 'E000293', 'G000581', 'K000009', 'K000381', 'K000188', 'K000382', 'L000586', 'M001185', 'M000312', 'O000170', 'P000613', 'P000597', 'R000577', 'T000470']",17,18,0
hr260-115,hr,Government operations and politics,['S001200'],1,2,0
hr4633-115,hr,Education,"['B000490', 'C001051', 'C001087', 'H001053', 'H001071', 'H001059', 'J000297', 'M001159', 'P000601', 'R000604', 'R000577']",11,12,0
hr1341-115,hr,Government operations and politics,"['A000369', 'B001291', 'B001298', 'B001269', 'B001296', 'B001290', 'B001274', 'B001285', 'B001297', 'C001037', 'C001105', 'C000754', 'D000619', 'D000191', 'D000620', 'D000615', 'D000533', 'E000215', 'F000466', 'G000580', 'G000552', 'G000582', 'G000289', 'G000410', 'H001045', 'J000255', 'K000188', 'L000578', 'L000564', 'L000583', 'M000312', 'N000189', 'P000588', 'R000586', 'R000575', 'R000580', 'S000051', 'S001170', 'S001191', 'S000480', 'S001172', 'S001187', 'W000819', 'W000814', 'Y000065']",45,46,0
hr3416-115,hr,Transportation and public works,"['R000515', 'W000800']",2,3,0
hr6958-115,hr,Health,['W000800'],1,2,0
hr6164-115,hr,"Arts, culture, religion",[],0,1,0
hr3624-115,hr,Public lands and natural resources,"['B000574', 'C001090', 'D000191', 'G000551', 'H001064', 'J000298', 'L000560', 'L000397', 'L000579', 'M001143', 'N000179', 'N000147', 'S001150']",13,14,0
hr7284-115,hr,Environmental protection,"['B001301', 'D000624', 'H001068', 'L000263', 'W000800']",5,6,0
hr6356-115,hr,Environmental protection,"['A000374', 'A000375', 'B001299', 'B001250', 'C001093', 'C001096', 'D000615', 'E000298', 'G000584', 'G000552', 'G000582', 'G000565', 'G000558', 'H001048', 'L000566', 'L000589', 'L000569', 'M001198', 'M001177', 'M001190', 'N000189', 'N000184', 'N000190', 'O000168', 'P000588', 'P000605', 'S001195', 'S000583', 'S001192', 'T000467']",30,31,0
hr4401-115,hr,Social welfare,[],0,1,0
hr1173-115,hr,Health,"['B000574', 'B001245', 'C001090', 'C001080', 'C000754', 'C001107', 'D000191', 'E000288', 'E000215', 'G000551', 'H001068', 'J000298', 'J000290', 'J000255', 'K000381', 'K000188', 'K000362', 'K000382', 'L000287', 'L000579', 'L000580', 'M001143', 'M000312', 'M001181', 'M001190', 'M001151', 'N000179', 'N000127', 'N000147', 'P000608', 'P000258', 'R000515', 'R000577', 'S001145', 'S001170', 'S001172', 'S001195', 'S001200', 'T000469', 'V000108', 'W000799', 'Y000062', 'Y000066']",43,44,0
hr5715-115,hr,Health,"['B001243', 'C001105', 'F000466', 'G000558', 'K000381', 'L000566', 'P000608', 'S001185', 'W000791']",9,10,0
hr294-115,hr,Government operations and politics,"['A000375', 'B001291', 'B000213', 'B000755', 'B001248', 'C001051', 'C001091', 'C001062', 'C001063', 'C001048', 'D000399', 'F000460', 'F000461', 'G000552', 'G000581', 'G000377', 'G000553', 'G000410', 'H001036', 'H001073', 'J000032', 'J000126', 'J000174', 'M001158', 'M001157', 'O000170', 'P000592', 'R000601', 'S000250', 'S000583', 'T000238', 'V000131', 'V000132', 'W000814', 'W000816']",35,36,1
hr2530-115,hr,Taxation,"['S001200', 'V000081']",2,3,0
hr7042-115,hr,Environmental protection,['M001177'],1,2,0
hr6190-115,hr,Immigration,"['B001294', 'B001248', 'G000579', 'G000552', 'H001058', 'K000210', 'M001180', 'P000599', 'T000470', 'Y000065']",10,11,0
hr2702-115,hr,Commerce,[],0,1,0
hr7270-115,hr,"Science, technology, communications",['C001111'],1,2,0
hr5527-115,hr,Congress,"['B001281', 'L000397', 'S001170', 'V000081']",4,5,0
hr1187-115,hr,Health,"['C001072', 'C001078', 'E000179', 'F000464', 'F000466', 'H000324', 'K000188', 'L000565', 'L000397', 'M001160', 'N000147', 'P000604', 'P000593', 'P000607', 'P000523', 'S001201']",16,17,0
hr2366-115,hr,Finance and financial sector,"['A000371', 'B000574', 'B001227', 'C001066', 'C001078', 'C001110', 'C001038', 'D000191', 'D000216', 'D000624', 'E000288', 'E000297', 'G000535', 'H001038', 'K000009', 'K000386', 'K000381', 'L000397', 'L000579', 'M001143', 'M000312', 'M001166', 'M001196', 'N000127', 'N000147', 'O000170', 'P000096', 'P000604', 'P000593', 'P000608', 'P000597', 'R000606', 'R000608', 'S001191', 'T000460', 'T000469', 'V000131', 'Y000062']",38,39,0
hr4091-115,hr,Public lands and natural resources,[],0,1,0
hr5143-115,hr,Congress,"['B001290', 'C001115', 'C001096', 'D000626', 'H001068', 'J000255', 'K000389', 'L000583', 'M001184', 'M001177', 'M001180', 'M001187', 'M001189', 'M001195', 'M001196', 'N000190', 'N000147', 'P000598', 'S000051', 'T000469']",20,21,0
hr5371-115,hr,Education,[],0,1,0
hr2154-115,hr,Agriculture and food,[],0,1,1
hr3086-115,hr,"Science, technology, communications","['B001283', 'B001274', 'E000215', 'J000126', 'K000381', 'K000382', 'P000607']",7,8,0
hr2968-115,hr,Education,"['B000574', 'B001245', 'B001296', 'C001072', 'D000623', 'D000624', 'E000296', 'K000381', 'L000570', 'M001196', 'N000179', 'N000147', 'R000606', 'R000486']",14,15,0
hr1970-115,hr,Immigration,"['A000374', 'B001303', 'C001112', 'D000619', 'D000625', 'F000449', 'G000576', 'J000032', 'K000388', 'K000210', 'L000584', 'M001143', 'M001188', 'O000171', 'P000613', 'R000606', 'R000435', 'R000576', 'R000609', 'U000031', 'W000799', 'Y000066']",22,23,0
hr851-115,hr,Housing and community development,"['B000490', 'B001251', 'C001067', 'C001049', 'C001061', 'C000714', 'C000984', 'D000627', 'G000581', 'H001064', 'J000126', 'J000288', 'K000009', 'K000385', 'L000586', 'L000551', 'L000287', 'M001137', 'S001157', 'S000248', 'S001187', 'T000193', 'V000131', 'W000822']",24,25,0
hr6369-115,hr,Commerce,"['G000582', 'S001190']",2,3,0
hr3429-115,hr,Immigration,"['J000032', 'J000288', 'K000389', 'K000381', 'M000312', 'O000170', 'R000606', 'R000515', 'T000472', 'V000130', 'Y000033']",11,12,0
hr6967-115,hr,Environmental protection,['K000009'],1,2,0
hr7089-115,hr,Finance and financial sector,['S000522'],1,2,0
hr3871-115,hr,Agriculture and food,"['A000370', 'B000574', 'B001303', 'C001112', 'C001097', 'C001068', 'D000619', 'D000191', 'G000579', 'G000559', 'G000576', 'H001050', 'H001068', 'K000009', 'K000386', 'K000188', 'K000382', 'L000578', 'L000586', 'L000582', 'L000565', 'L000397', 'L000580', 'M001185', 'M000312', 'M001196', 'N000002', 'N000127', 'N000147', 'P000613', 'P000597', 'P000607', 'R000577', 'S001170', 'S000480', 'S001200', 'S001196', 'T000478', 'T000467', 'V000129', 'W000799', 'W000800']",42,43,0
hr4268-115,hr,Crime and law enforcement,"['B001270', 'B000574', 'B001296', 'C001080', 'C001084', 'C001067', 'C001049', 'C001068', 'C000714', 'C000984', 'D000598', 'D000216', 'D000623', 'F000454', 'G000553', 'H000324', 'J000298', 'J000288', 'K000389', 'K000391', 'L000581', 'L000551', 'L000287', 'L000397', 'M001163', 'M001143', 'M001166', 'M001137', 'M001160', 'N000002', 'N000147', 'P000604', 'Q000023', 'R000606', 'S001145', 'S001170', 'S001165', 'S001200', 'T000472', 'W000822', 'W000808', 'Y000062']",42,43,0
hr409-115,hr,Health,['B001302'],1,2,0
hr5188-115,hr,Agriculture and food,"['F000455', 'K000389', 'K000382', 'L000397', 'L000580', 'M001185', 'M000312', 'N000127', 'P000607']",9,10,0
hr4866-115,hr,Health,[],0,1,0
hr1528-115,hr,Native Americans,"['A000369', 'C001097', 'C001077', 'C001053', 'C001094', 'D000197', 'D000623', 'E000288', 'G000565', 'H000324', 'H001048', 'J000255', 'K000188', 'K000210', 'L000564', 'L000580', 'L000570', 'M001143', 'M001160', 'M001190', 'N000127', 'P000593', 'P000258', 'P000598', 'S001177', 'S001170', 'S001191', 'T000472', 'W000799', 'Y000033']",30,31,0
hr2957-115,hr,Health,"['C001062', 'C001096', 'D000616', 'F000460', 'G000581', 'H001045', 'H001077', 'H001068', 'H001073', 'K000188', 'L000565', 'L000491', 'P000601', 'P000258', 'P000611', 'R000604', 'S001185', 'S001192', 'T000467', 'T000238', 'V000129', 'V000132', 'W000799', 'W000816']",24,25,0
hr3885-115,hr,Crime and law enforcement,"['R000435', 'R000599']",2,3,0
hr4892-115,hr,Agriculture and food,[],0,1,0
hr5940-115,hr,Armed forces and national security,"['D000624', 'L000584']",2,3,0
hr2359-115,hr,Finance and financial sector,"['B001305', 'E000294', 'H001058', 'K000210', 'L000491', 'P000606', 'R000598', 'R000487', 'S001187', 'T000470', 'T000475', 'W000812', 'W000816']",13,14,0
hr1984-115,hr,Health,[],0,1,0
hr5518-115,hr,Health,[],0,1,0
hr6993-115,hr,Armed forces and national security,"['B001296', 'K000381', 'M001166']",3,4,0
hr3420-115,hr,Taxation,['C001084'],1,2,0
hr6152-115,hr,Housing and community development,[],0,1,0
hr7080-115,hr,International affairs,"['M000312', 'P000607']",2,3,0
hr256-115,hr,Crime and law enforcement,"['A000372', 'B001291', 'C001103', 'G000552', 'H001071', 'K000362', 'M001180', 'M001187', 'N000189', 'O000168', 'P000601', 'P000611', 'R000601', 'R000592', 'S000250', 'S001196', 'S001192']",17,18,0
hr4605-115,hr,Energy,"['C001096', 'C001063', 'D000615', 'F000461', 'L000566', 'R000577']",6,7,0
hr1377-115,hr,Labor and employment,"['B001298', 'B001257', 'B001248', 'C000059', 'C001080', 'C001067', 'C000537', 'C001068', 'C001053', 'C000754', 'D000096', 'E000179', 'F000454', 'G000571', 'G000582', 'H001050', 'H001056', 'J000126', 'K000009', 'K000386', 'K000382', 'L000397', 'L000579', 'L000580', 'M001185', 'M000312', 'M001196', 'M001202', 'N000179', 'O000170', 'O000168', 'P000258', 'P000597', 'P000523', 'R000600', 'R000606', 'R000578', 'R000597', 'R000588', 'R000576', 'S001145', 'S000248', 'S000480', 'S001200', 'S001175', 'S001193', 'T000469', 'V000108', 'W000804', 'Y000062', 'Y000066', 'Y000033']",52,53,0
hr4437-115,hr,Armed forces and national security,"['A000374', 'B001291', 'B001269', 'B001295', 'B001284', 'C001087', 'H001053', 'K000378', 'M001197', 'N000190', 'P000601', 'R000607', 'S001195', 'W000799']",14,15,0
hr1979-115,hr,Crime and law enforcement,[],0,1,0
hr858-115,hr,Immigration,"['A000371', 'B001300', 'B001270', 'B000574', 'B001303', 'B001278', 'B001296', 'B001304', 'B001285', 'C001037', 'C001112', 'C001097', 'C001072', 'C001066', 'C001080', 'C001084', 'C001101', 'C001067', 'C000984', 'D000096', 'D000598', 'D000197', 'D000216', 'D000623', 'D000624', 'E000288', 'E000179', 'E000215', 'E000297', 'E000296', 'G000574', 'G000559', 'G000585', 'G000581', 'G000551', 'G000535', 'H001050', 'H000324', 'H001068', 'J000032', 'J000298', 'J000294', 'J000288', 'K000389', 'L000581', 'L000551', 'L000263', 'L000287', 'L000397', 'L000579', 'L000580', 'L000570', 'M001185', 'M001163', 'M001143', 'M000312', 'N000002', 'N000179', 'N000147', 'O000170', 'P000613', 'P000604', 'P000593', 'P000598', 'Q000023', 'R000606', 'R000486', 'R000599', 'R000515', 'S001145', 'S001190', 'S000185', 'S000248', 'S000480', 'S000510', 'S001200', 'S001175', 'S001201', 'T000472', 'T000193', 'T000460', 'T000474', 'V000130', 'V000131', 'V000132', 'V000081', 'W000799', 'W000797', 'W000187', 'W000822', 'W000800', 'W000808', 'Y000062']",93,94,0
hr1145-115,hr,Taxation,"['J000298', 'L000579', 'M001160', 'P000594']",4,5,0
hr3612-115,hr,International affairs,[],0,1,0
hr6360-115,hr,Environmental protection,"['A000374', 'B001299', 'B001302', 'B001250', 'C001096', 'D000615', 'E000298', 'G000552', 'G000582', 'G000565', 'H001048', 'L000569', 'M001198', 'M001177', 'M001195', 'N000189', 'N000184', 'P000605', 'R000592', 'S001192', 'T000470', 'W000791']",22,23,0
hr5181-115,hr,Energy,[],0,1,0
hr4053-115,hr,Finance and financial sector,[],0,1,0
hr400-115,hr,Immigration,"['A000374', 'A000372', 'A000369', 'A000375', 'B001291', 'B000213', 'B001301', 'B001302', 'B001243', 'B001295', 'B001290', 'B001283', 'B001274', 'B001260', 'B001297', 'B001275', 'B001248', 'B001289', 'C001103', 'C000266', 'C001053', 'C001093', 'C001108', 'C001094', 'C001096', 'D000626', 'D000616', 'D000615', 'D000533', 'F000460', 'F000465', 'F000466', 'F000459', 'F000461', 'F000448', 'G000563', 'G000552', 'G000565', 'G000577', 'G000546', 'G000560', 'G000576', 'H001052', 'H001036', 'H001071', 'H001067', 'H001048', 'J000297', 'J000174', 'J000255', 'J000295', 'K000376', 'K000392', 'L000585', 'L000578', 'L000564', 'L000566', 'L000576', 'L000583', 'L000491', 'M001158', 'M001179', 'M001157', 'M001177', 'M001180', 'M001197', 'M001187', 'M001194', 'N000184', 'O000168', 'P000601', 'P000606', 'P000599', 'R000601', 'R000586', 'R000582', 'R000575', 'R000592', 'R000583', 'R000598', 'R000603', 'R000604', 'S001183', 'S001189', 'S001195', 'S000583', 'S001199', 'T000475', 'W000812', 'W000814', 'W000795', 'Y000065', 'Y000066', 'Z000017']",94,95,0
hr1521-115,hr,Finance and financial sector,[],0,1,0
hr3276-115,hr,Health,"['F000448', 'G000578', 'G000580', 'G000552', 'G000565', 'H001071', 'M001184']",7,8,0
hr6704-115,hr,Energy,[],0,1,0
hr3044-115,hr,Health,"['D000197', 'K000379', 'L000567', 'S001185']",4,5,0
hr2196-115,hr,Government operations and politics,"['C000984', 'F000460', 'L000562']",3,4,0
hr3878-115,hr,Finance and financial sector,"['B001292', 'B000490', 'B001296', 'B001251', 'C001037', 'C001097', 'C001084', 'C001101', 'D000623', 'D000610', 'E000288', 'G000559', 'G000410', 'G000551', 'J000298', 'K000009', 'L000559', 'L000565', 'L000580', 'M000312', 'N000002', 'N000179', 'N000147', 'R000606', 'S000480', 'S000510', 'T000472']",27,28,0
hr6536-115,hr,Immigration,['R000607'],1,2,0
hr632-115,hr,Armed forces and national security,"['A000370', 'A000371', 'B001300', 'B001270', 'B001281', 'B001287', 'B001301', 'B001292', 'B001250', 'B000490', 'B000574', 'B001303', 'B001278', 'B001245', 'B001296', 'B001227', 'B001304', 'B001285', 'B001248', 'B001286', 'B001251', 'B001289', 'C001037', 'C001112', 'C001097', 'C001072', 'C001103', 'C001090', 'C001066', 'C001091', 'C001080', 'C001084', 'C001101', 'C001067', 'C001049', 'C001061', 'C001077', 'C001068', 'C001078', 'C000714', 'C001110', 'C001059', 'C001106', 'C001069', 'C001096', 'C001111', 'C001038', 'C001063', 'C000984', 'C001107', 'D000096', 'D000619', 'D000598', 'D000191', 'D000197', 'D000620', 'D000216', 'D000617', 'D000627', 'D000623', 'D000610', 'D000624', 'D000625', 'D000482', 'E000288', 'E000179', 'E000215', 'E000297', 'E000293', 'E000296', 'F000464', 'F000454', 'F000462', 'F000455', 'G000571', 'G000579', 'G000574', 'G000559', 'G000563', 'G000552', 'G000585', 'G000581', 'G000583', 'G000553', 'G000410', 'G000551', 'G000535', 'H001050', 'H001052', 'H000324', 'H001064', 'H001038', 'H001047', 'H000874', 'H001068', 'J000032', 'J000298', 'J000294', 'J000126', 'J000288', 'J000255', 'J000295', 'K000009', 'K000386', 'K000375', 'K000376', 'K000385', 'K000379', 'K000389', 'K000390', 'K000380', 'K000381', 'K000188', 'K000210', 'K000387', 'K000391', 'K000382', 'L000578', 'L000559', 'L000560', 'L000557', 'L000581', 'L000586', 'L000551', 'L000263', 'L000287', 'L000582', 'L000563', 'L000554', 'L000565', 'L000397', 'L000584', 'L000579', 'L000480', 'L000580', 'L000570', 'L000562', 'M001193', 'M000087', 'M001185', 'M001158', 'M001184', 'M001199', 'M001163', 'M001177', 'M001143', 'M001200', 'M000312', 'M001166', 'M001137', 'M001160', 'M001196', 'M001202', 'N000002', 'N000179', 'N000015', 'N000127', 'N000188', 'N000147', 'O000170', 'P000034', 'P000613', 'P000096', 'P000604', 'P000588', 'P000593', 'P000608', 'P000258', 'P000597', 'P000610', 'P000607', 'P000611', 'P000598', 'P000523', 'Q000023', 'R000600', 'R000606', 'R000585', 'R000602', 'R000588', 'R000591', 'R000583', 'R000435', 'R000608', 'R000580', 'R000486', 'R000487', 'R000599', 'R000576', 'R000515', 'R000609', 'R000577', 'S001177', 'S001156', 'S001168', 'S001150', 'S001190', 'S001180', 'S001157', 'S000185', 'S000248', 'S001185', 'S001170', 'S000344', 'S001191', 'S001165', 'S000480', 'S000510', 'S001200', 'S001175', 'S001196', 'S001192', 'S001187', 'S001201', 'S001193', 'T000472', 'T000193', 'T000460', 'T000468', 'T000469', 'T000474', 'T000475', 'V000129', 'V000130', 'V000131', 'V000081', 'V000108', 'W000813', 'W000799', 'W000797', 'W000822', 'W000800', 'W000808', 'W000795', 'Y000062', 'Y000065', 'Y000033', 'Z000017']",238,239,0
