bioguide_id,name,gender,type,state,district,party,start,end,days_in_office,overall_bills_sponsored,overall_pass_rate
B001274,Mo Brooks,M,rep,AL,5,Republican,2017-01-03,2019-01-03,730,10,0.0
B001260,Vern Buchanan,M,rep,FL,16,Republican,2017-01-03,2019-01-03,730,18,0.0
B001275,Larry Bucshon,M,rep,IN,8,Republican,2017-01-03,2019-01-03,730,17,0.0
B001248,Michael Burgess,M,rep,TX,26,Republican,2017-01-03,2019-01-03,730,48,0.020833333333333332
B001251,George Butterfield,M,rep,NC,1,Democrat,2017-01-03,2019-01-03,730,3,0.0
C000059,Ken Calvert,M,rep,CA,42,Republican,2017-01-03,2019-01-03,730,16,0.0
C001072,André Carson,M,rep,IN,7,Democrat,2017-01-03,2019-01-03,730,19,0.05263157894736842
C001051,John Carter,M,rep,TX,31,Republican,2017-01-03,2019-01-03,730,8,0.125
C001066,Kathy Castor,F,rep,FL,14,Democrat,2017-01-03,2019-01-03,730,12,0.0
C000266,Steve Chabot,M,rep,OH,1,Republican,2017-01-03,2019-01-03,730,34,0.08823529411764706
C001080,Judy Chu,F,rep,CA,27,Democrat,2017-01-03,2019-01-03,730,26,0.0
C001084,David Cicilline,M,rep,RI,1,Democrat,2017-01-03,2019-01-03,730,55,0.01818181818181818
C001067,Yvette Clarke,F,rep,NY,9,Democrat,2017-01-03,2019-01-03,730,27,0.037037037037037035
C001049,Wm. Clay,M,rep,MO,1,Democrat,2017-01-03,2019-01-03,730,7,0.14285714285714285
C001061,Emanuel Cleaver,M,rep,MO,5,Democrat,2017-01-03,2019-01-03,730,1,0.0
C000537,James Clyburn,M,rep,SC,6,Democrat,2017-01-03,2019-01-03,730,9,0.0
C001068,Steve Cohen,M,rep,TN,9,Democrat,2017-01-03,2019-01-03,730,35,0.02857142857142857
C001053,Tom Cole,M,rep,OK,4,Republican,2017-01-03,2019-01-03,730,24,0.0
C001062,K. Conaway,M,rep,TX,11,Republican,2017-01-03,2019-01-03,730,24,0.041666666666666664
C001078,Gerald Connolly,M,rep,VA,11,Democrat,2017-01-03,2019-01-03,730,27,0.037037037037037035
C000754,Jim Cooper,M,rep,TN,5,Democrat,2017-01-03,2019-01-03,730,8,0.0
C001059,Jim Costa,M,rep,CA,16,Democrat,2017-01-03,2019-01-03,730,4,0.0
C001069,Joe Courtney,M,rep,CT,2,Democrat,2017-01-03,2019-01-03,730,12,0.0
C001087,Eric Crawford,M,rep,AR,1,Republican,2017-01-03,2019-01-03,730,12,0.0
C001063,Henry Cuellar,M,rep,TX,28,Democrat,2017-01-03,2019-01-03,730,9,0.3333333333333333
D000096,Danny Davis,M,rep,IL,7,Democrat,2017-01-03,2019-01-03,730,25,0.0
D000598,Susan Davis,F,rep,CA,53,Democrat,2017-01-03,2019-01-03,730,21,0.0
D000191,Peter DeFazio,M,rep,OR,4,Democrat,2017-01-03,2019-01-03,730,47,0.0425531914893617
D000197,Diana DeGette,F,rep,CO,1,Democrat,2017-01-03,2019-01-03,730,13,0.07692307692307693
D000216,Rosa DeLauro,F,rep,CT,3,Democrat,2017-01-03,2019-01-03,730,52,0.0
D000616,Scott DesJarlais,M,rep,TN,4,Republican,2017-01-03,2019-01-03,730,7,0.0
D000610,Theodore Deutch,M,rep,FL,22,Democrat,2017-01-03,2019-01-03,730,24,0.0
D000600,Mario Diaz-Balart,M,rep,FL,25,Republican,2017-01-03,2019-01-03,730,9,0.0
D000399,Lloyd Doggett,M,rep,TX,35,Democrat,2017-01-03,2019-01-03,730,18,0.0
D000482,Michael Doyle,M,rep,PA,14,Democrat,2017-01-03,2019-01-03,730,7,0.0
D000615,Jeff Duncan,M,rep,SC,3,Republican,2017-01-03,2019-01-03,730,10,0.0
E000179,Eliot Engel,M,rep,NY,16,Democrat,2017-01-03,2019-01-03,730,46,0.0
E000215,Anna Eshoo,F,rep,CA,18,Democrat,2017-01-03,2019-01-03,730,15,0.0
F000459,Charles Fleischmann,M,rep,TN,3,Republican,2017-01-03,2019-01-03,730,4,0.0
F000461,Bill Flores,M,rep,TX,17,Republican,2017-01-03,2019-01-03,730,12,0.0
F000449,Jeff Fortenberry,M,rep,NE,1,Republican,2017-01-03,2019-01-03,730,14,0.0
F000450,Virginia Foxx,F,rep,NC,5,Republican,2017-01-03,2019-01-03,730,16,0.125
F000455,Marcia Fudge,F,rep,OH,11,Democrat,2017-01-03,2019-01-03,730,11,0.0
G000559,John Garamendi,M,rep,CA,3,Democrat,2017-01-03,2019-01-03,730,10,0.0
G000563,Bob Gibbs,M,rep,OH,7,Republican,2017-01-03,2019-01-03,730,11,0.09090909090909091
G000552,Louie Gohmert,M,rep,TX,1,Republican,2017-01-03,2019-01-03,730,18,0.05555555555555555
G000565,Paul Gosar,M,rep,AZ,4,Republican,2017-01-03,2019-01-03,730,23,0.0
G000377,Kay Granger,F,rep,TX,12,Republican,2017-01-03,2019-01-03,730,6,0.16666666666666666
G000546,Sam Graves,M,rep,MO,6,Republican,2017-01-03,2019-01-03,730,14,0.0
G000560,Tom Graves,M,rep,GA,14,Republican,2017-01-03,2019-01-03,730,5,0.0
G000553,Al Green,M,rep,TX,9,Democrat,2017-01-03,2019-01-03,730,38,0.0
G000568,H. Griffith,M,rep,VA,9,Republican,2017-01-03,2019-01-03,730,31,0.06451612903225806
G000551,Raúl Grijalva,M,rep,AZ,3,Democrat,2017-01-03,2019-01-03,730,35,0.0
G000558,Brett Guthrie,M,rep,KY,2,Republican,2017-01-03,2019-01-03,730,23,0.13043478260869565
H001052,Andy Harris,M,rep,MD,1,Republican,2017-01-03,2019-01-03,730,5,0.2
H001053,Vicky Hartzler,F,rep,MO,4,Republican,2017-01-03,2019-01-03,730,19,0.10526315789473684
H000324,Alcee Hastings,M,rep,FL,20,Democrat,2017-01-03,2019-01-03,730,33,0.0
H001056,Jaime Herrera Beutler,F,rep,WA,3,Republican,2017-01-03,2019-01-03,730,11,0.18181818181818182
H001038,Brian Higgins,M,rep,NY,26,Democrat,2017-01-03,2019-01-03,730,9,0.0
H001047,James Himes,M,rep,CT,4,Democrat,2017-01-03,2019-01-03,730,19,0.05263157894736842
H000874,Steny Hoyer,M,rep,MD,5,Democrat,2017-01-03,2019-01-03,730,9,0.1111111111111111
H001058,Bill Huizenga,M,rep,MI,2,Republican,2017-01-03,2019-01-03,730,11,0.09090909090909091
H001048,Duncan Hunter,M,rep,CA,50,Republican,2017-01-03,2019-01-03,730,20,0.0
J000032,Sheila Jackson Lee,F,rep,TX,18,Democrat,2017-01-03,2019-01-03,730,65,0.0
J000292,Bill Johnson,M,rep,OH,6,Republican,2017-01-03,2019-01-03,730,13,0.07692307692307693
J000126,Eddie Johnson,F,rep,TX,30,Democrat,2017-01-03,2019-01-03,730,18,0.0
J000288,Henry Johnson,M,rep,GA,4,Democrat,2017-01-03,2019-01-03,730,21,0.0
J000289,Jim Jordan,M,rep,OH,4,Republican,2017-01-03,2019-01-03,730,2,0.0
K000009,Marcy Kaptur,F,rep,OH,9,Democrat,2017-01-03,2019-01-03,730,21,0.0
K000375,William Keating,M,rep,MA,9,Democrat,2017-01-03,2019-01-03,730,20,0.0
K000376,Mike Kelly,M,rep,PA,3,Republican,2017-01-03,2019-01-03,730,32,0.0625
K000188,Ron Kind,M,rep,WI,3,Democrat,2017-01-03,2019-01-03,730,21,0.0
K000210,Peter King,M,rep,NY,2,Republican,2017-01-03,2019-01-03,730,28,0.0
K000362,Steve King,M,rep,IA,4,Republican,2017-01-03,2019-01-03,730,43,0.0
K000378,Adam Kinzinger,M,rep,IL,16,Republican,2017-01-03,2019-01-03,730,22,0.0
L000564,Doug Lamborn,M,rep,CO,5,Republican,2017-01-03,2019-01-03,730,18,0.0
L000559,James Langevin,M,rep,RI,2,Democrat,2017-01-03,2019-01-03,730,41,0.0
L000560,Rick Larsen,M,rep,WA,2,Democrat,2017-01-03,2019-01-03,730,11,0.0
L000557,John Larson,M,rep,CT,1,Democrat,2017-01-03,2019-01-03,730,8,0.25
L000566,Robert Latta,M,rep,OH,5,Republican,2017-01-03,2019-01-03,730,29,0.0
L000551,Barbara Lee,F,rep,CA,13,Democrat,2017-01-03,2019-01-03,730,52,0.0
L000287,John Lewis,M,rep,GA,5,Democrat,2017-01-03,2019-01-03,730,40,0.025
L000563,Daniel Lipinski,M,rep,IL,3,Democrat,2017-01-03,2019-01-03,730,25,0.0
L000565,David Loebsack,M,rep,IA,2,Democrat,2017-01-03,2019-01-03,730,23,0.0
L000397,Zoe Lofgren,F,rep,CA,19,Democrat,2017-01-03,2019-01-03,730,18,0.0
L000576,Billy Long,M,rep,MO,7,Republican,2017-01-03,2019-01-03,730,12,0.0
L000480,Nita Lowey,F,rep,NY,17,Democrat,2017-01-03,2019-01-03,730,19,0.05263157894736842
L000491,Frank Lucas,M,rep,OK,3,Republican,2017-01-03,2019-01-03,730,5,0.2
L000569,Blaine Luetkemeyer,M,rep,MO,3,Republican,2017-01-03,2019-01-03,730,19,0.05263157894736842
L000570,Ben Luján,M,rep,NM,3,Democrat,2017-01-03,2019-01-03,730,43,0.0
L000562,Stephen Lynch,M,rep,MA,8,Democrat,2017-01-03,2019-01-03,730,24,0.08333333333333333
M000087,Carolyn Maloney,F,rep,NY,12,Democrat,2017-01-03,2019-01-03,730,46,0.0
M001158,Kenny Marchant,M,rep,TX,24,Republican,2017-01-03,2019-01-03,730,16,0.0
M001163,Doris Matsui,F,rep,CA,6,Democrat,2017-01-03,2019-01-03,730,10,0.0
M001165,Kevin McCarthy,M,rep,CA,23,Republican,2017-01-03,2019-01-03,730,20,0.1
M001157,Michael McCaul,M,rep,TX,10,Republican,2017-01-03,2019-01-03,730,33,0.09090909090909091
M001177,Tom McClintock,M,rep,CA,4,Republican,2017-01-03,2019-01-03,730,10,0.1
M001143,Betty McCollum,F,rep,MN,4,Democrat,2017-01-03,2019-01-03,730,7,0.0
M000312,James McGovern,M,rep,MA,2,Democrat,2017-01-03,2019-01-03,730,14,0.07142857142857142
M001156,Patrick McHenry,M,rep,NC,10,Republican,2017-01-03,2019-01-03,730,12,0.0
M001180,David McKinley,M,rep,WV,1,Republican,2017-01-03,2019-01-03,730,38,0.02631578947368421
M001159,Cathy McMorris Rodgers,F,rep,WA,5,Republican,2017-01-03,2019-01-03,730,23,0.043478260869565216
M001166,Jerry McNerney,M,rep,CA,9,Democrat,2017-01-03,2019-01-03,730,22,0.0
M001137,Gregory Meeks,M,rep,NY,5,Democrat,2017-01-03,2019-01-03,730,20,0.0
M001160,Gwen Moore,F,rep,WI,4,Democrat,2017-01-03,2019-01-03,730,25,0.04
N000002,Jerrold Nadler,M,rep,NY,10,Democrat,2017-01-03,2019-01-03,730,24,0.0
N000179,Grace Napolitano,F,rep,CA,32,Democrat,2017-01-03,2019-01-03,730,9,0.0
N000015,Richard Neal,M,rep,MA,1,Democrat,2017-01-03,2019-01-03,730,18,0.0
N000181,Devin Nunes,M,rep,CA,22,Republican,2017-01-03,2019-01-03,730,14,0.0
O000168,Pete Olson,M,rep,TX,22,Republican,2017-01-03,2019-01-03,730,13,0.07692307692307693
P000601,Steven Palazzo,M,rep,MS,4,Republican,2017-01-03,2019-01-03,730,12,0.08333333333333333
P000034,Frank Pallone,M,rep,NJ,6,Democrat,2017-01-03,2019-01-03,730,31,0.0
