bioguide_id,name,gender,type,state,district,party,start,end,days_in_office
B001260,Vern Buchanan,M,rep,FL,16,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B001275,Larry Bucshon,M,rep,IN,8,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B001248,Michael Burgess,M,rep,TX,26,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
B001251,George Butterfield,M,rep,NC,1,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C000059,Ken Calvert,M,rep,CA,42,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001072,André Carson,M,rep,IN,7,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001051,John Carter,M,rep,TX,31,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001066,Kathy Castor,F,rep,FL,14,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C000266,Steve Chabot,M,rep,OH,1,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001080,Judy Chu,F,rep,CA,27,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001084,David Cicilline,M,rep,RI,1,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001067,Yvette Clarke,F,rep,NY,9,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001049,Wm. Clay,M,rep,MO,1,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001061,Emanuel Cleaver,M,rep,MO,5,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C000537,James Clyburn,M,rep,SC,6,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001068,Steve Cohen,M,rep,TN,9,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001053,Tom Cole,M,rep,OK,4,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001062,K. Conaway,M,rep,TX,11,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001078,Gerald Connolly,M,rep,VA,11,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
